restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber
0BvxoQf0-fAfhUudd-bXFw,Naf Naf Grill,"326 N Michigan Ave, Chicago, IL 60601 Neighborhood: b/t Wacker Pl & Macchesneyer Dr",415 reviews,4.5 star rating,"Middle Eastern,Falafel,Salad","326 N Michigan Ave, Chicago, IL 60601","Mon 10:30 am 10:00 pm
Tue 10:30 am 10:00 pm
Wed 10:30 am 10:00 pm
Thu 10:30 am 10:00 pm
Fri 10:30 am 10:00 pm
Sat 10:30 am 10:00 pm
Sun 10:30 am 10:00 pm
",Yes,Yes,Street,Casual,Yes,Under $10,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,NULL,nafnafgrill.com,(312) 263-0019
LdinBOfr0f0RFi5kJpbgyQ,Broken English Taco Pub - The Loop,"75 E. Lake St, Chicago, IL 60601 Neighborhood: b/t Dearborn St & Michigan Ave",389 reviews,3.5 star rating,"Mexican,Bars,Desserts","75 E. Lake St, Chicago, IL 60601","Mon 11:00 am 12:00 am
Tue 11:00 am 12:00 am
Wed 11:00 am 12:00 am
Thu 11:00 am 12:00 am
Fri 11:00 am 1:00 am
Sat 11:00 am 2:00 am
Sun 12:00 pm 10:00 pm
",No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,NULL,"Lunch, Dinner",Full Bar,Loud,"Casual, Trendy",NULL,NULL,NULL,tacopub.com,(312) 929-3601
ENfiSGbuKEI0UUKPWPJqtQ,Pastoral,"53 E Lake St, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Dearborn St",599 reviews,4.0 star rating,"Cheese Shops,Delis,Sandwiches","53 E Lake St, Chicago, IL 60601","Mon 10:30 am 8:00 pm
Tue 10:30 am 8:00 pm
Wed 10:30 am 8:00 pm
Thu 10:30 am 8:00 pm
Fri 10:30 am 8:00 pm
Sat 11:00 am 6:00 pm
Sun 11:00 am 6:00 pm
",No,Yes,Street,Casual,No,$11-30,No,Yes,Yes,NULL,Yes,No,Lunch,Beer & Wine Only,Average,Casual,No,Yes,NULL,pastoralartisan.com,(312) 658-1250
hiJMiKoyP24G-0oILI8d3w,Tavern at the Park,"130 E Randolph St, Chicago, IL 60601 Neighborhood: b/t Stetson Ave & Beaubien Ct",663 reviews,3.5 star rating,"American (Traditional),Wine Bars,Beer Bar","130 E Randolph St, Chicago, IL 60601","Mon 11:00 am 10:00 pm
Tue 11:00 am 10:00 pm
Wed 11:00 am 10:00 pm
Thu 11:00 am 10:00 pm
Fri 11:00 am 10:30 pm
Sat 12:00 pm 10:30 pm
Sun 
",No,Yes,Valet,Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,Free,Dinner,Full Bar,Average,Classy,Yes,NULL,NULL,tavernatthepark.com,(312) 552-0070
MrWETKbSyG-FBq6ttK8SiQ,Eggy’s Diner,"333 E Benton Pl, Ste 103 Neighborhood: The Loop",414 reviews,4.0 star rating,"Breakfast & Brunch,American (Traditional),Diners","333 E Benton Pl, Ste 103","Mon 7:30 am 3:00 pm
Tue 7:30 am 3:00 pm
Wed 7:30 am 3:00 pm
Thu 7:30 am 3:00 pm
Fri 7:30 am 3:00 pm
Sat 7:30 am 3:00 pm
Sun 7:30 am 3:00 pm
",Yes,Yes,"Garage, Street",Casual,Yes,$11-30,No,Yes,Yes,NULL,No,Free,"Breakfast, Brunch, Lunch",No,Average,Casual,Yes,No,NULL,eggysdiner.com,(773) 234-3449
uM0bo8IaXddPZlIYfDSHhQ,Miss Ricky’s,", Neighborhood: b/t Haddock Pl & Lake St",301 reviews,3.5 star rating,"Diners,Comfort Food,American (Traditional)",",","Mon 7:00 am 2:30 pm
Tue 7:00 am 2:30 pm
Wed 7:00 am 2:30 pm
Thu 7:00 am 2:30 pm
Fri 7:00 am 2:30 pm
Sat 7:00 am 2:30 pm
Sun 7:00 am 2:30 pm
",Yes,Yes,Valet,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,Yes,Free,"Breakfast, Brunch, Lunch",Full Bar,Average,Casual,Yes,NULL,Yes,virginhotels.com,(312) 940-4777
VkIQgupDqCFZorV8Ro-89A,State and Lake Chicago Tavern,"theWit Hotel, 201 N State St Neighborhood: The Loop",438 reviews,3.5 star rating,"American (New),Desserts,Breakfast & Brunch","theWit Hotel, 201 N State St","Mon 6:30 am 11:00 pm
Tue 6:30 am 11:00 pm
Wed 6:30 am 11:00 pm
Thu 6:30 am 11:00 pm
Fri 6:30 am 2:00 am
Sat 7:00 am 2:00 am
Sun 7:00 am 10:00 pm
",No,Yes,"Valet, Street",Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,Free,Dinner,Full Bar,Average,Trendy,Yes,No,NULL,stateandlakechicago.com,(312) 239-9400
Bxd9Y2PsdvIOGIKFQh53RQ,Giordano’s,"130 E Randolph, Chicago, IL 60601 Neighborhood: b/t Stetson Ave & Beaubien Ct",1846 reviews,3.5 star rating,"Pizza,Salad,Italian","130 E Randolph, Chicago, IL 60601","Mon 11:00 am 11:00 pm
Tue 11:00 am 11:00 pm
Wed 11:00 am 11:00 pm
Thu 11:00 am 11:00 pm
Fri 11:00 am 12:00 am
Sat 11:00 am 12:00 am
Sun 11:00 am 11:00 pm
",Yes,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,Yes,Free,"Lunch, Dinner",Full Bar,Average,Casual,Yes,Yes,Yes,giordanos.com,(312) 616-1200
M-F6KnDXBfzx926DAGy_aQ,Billy Goat Tavern Lake Street,"60 E Lake St, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Dearborn St",74 reviews,3.5 star rating,"Bars,American (Traditional),Breakfast & Brunch","60 E Lake St, Chicago, IL 60601","Mon 6:00 am 12:00 am
Tue 6:00 am 12:00 am
Wed 6:00 am 12:00 am
Thu 6:00 am 12:00 am
Fri 6:00 am 12:00 am
Sat 6:00 am 12:00 am
Sun 7:00 am 12:00 am
",Yes,Yes,NULL,Casual,Yes,Under $10,No,No,Yes,NULL,No,No,"Breakfast, Lunch, Dinner",Full Bar,Average,"Casual, Touristy",Yes,NULL,NULL,billygoattavern.com,(312) 346-5620
e8zF4XF0lKCMypVvfKpo8w,honeygrow,"70 E Lake St, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Dearborn St",20 reviews,3.5 star rating,"Salad,Noodles","70 E Lake St, Chicago, IL 60601","Mon 10:30 am 9:00 pm
Tue 10:30 am 9:00 pm
Wed 10:30 am 9:00 pm
Thu 10:30 am 9:00 pm
Fri 10:30 am 9:00 pm
Sat 10:30 am 9:00 pm
Sun 10:30 am 8:00 pm
",Yes,Yes,Street,Casual,Yes,$11-30,No,Yes,Yes,NULL,No,Free,Dinner,No,Loud,Casual,No,NULL,Yes,honeygrow.com,(312) 624-8107
Y1b6Z9D_WzAzUbTsjNJ8IQ,RAISED Urban Rooftop Bar,"1 W Wacker Dr, Chicago, IL 60601 Neighborhood: at Wabash Ave",162 reviews,3.5 star rating,"Bars,American (New)","1 W Wacker Dr, Chicago, IL 60601","Mon 4:00 pm 12:00 am
Tue 4:00 pm 12:00 am
Wed 4:00 pm 12:00 am
Thu 4:00 pm 12:00 am
Fri 2:00 pm 12:00 am
Sat 2:00 pm 12:00 am
Sun 
",No,Yes,Garage,Casual,Yes,$11-30,No,No,No,NULL,Yes,Free,"Dinner, Late Night",Full Bar,Average,"Casual, Trendy",NULL,NULL,NULL,raisedbarchicago.com,(312) 795-3444
R-IUS8o7S964FNHmmMOMmQ,The Halal Guys,"172 North Wabash Ave, Chicago, IL 60601 Neighborhood: The Loop",128 reviews,3.0 star rating,"Halal,Middle Eastern","172 North Wabash Ave, Chicago, IL 60601","Mon 11:00 am 10:00 pm
Tue 11:00 am 10:00 pm
Wed 11:00 am 10:00 pm
Thu 11:00 am 10:00 pm
Fri 11:00 am 10:00 pm
Sat 11:00 am 10:00 pm
Sun 11:00 am 10:00 pm
",Yes,Yes,Street,Casual,No,Under $10,No,Yes,Yes,No,No,Free,"Lunch, Dinner",No,Average,Casual,No,Yes,NULL,nwabashavechicagoil.thehalalg…,(312) 374-3255
dMEr_XitO-5S_ezNC6EYZQ,Morton’s The Steakhouse,"65 E Wacker Pl, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Lower Wacker Dr",335 reviews,4.0 star rating,"Steakhouses,American (Traditional),Bars","65 E Wacker Pl, Chicago, IL 60601","Mon 11:30 am 11:00 pm
Tue 11:30 am 11:00 pm
Wed 11:30 am 11:00 pm
Thu 11:30 am 11:00 pm
Fri 11:30 am 11:00 pm
Sat 5:00 pm 11:00 pm
Sun 5:00 pm 10:00 pm
",No,Yes,Valet,Dressy,Yes,$31-60,Yes,No,Yes,NULL,No,No,Dinner,Full Bar,Average,"Classy, Upscale",Yes,Yes,NULL,mortons.com/wacker,(312) 201-0410
BNaElIaBfIZjyxc4Eo7WLw,LH Rooftop,"85 E Wacker Dr, Chicago, IL 60601 Neighborhood: b/t Lower Wacker Dr & Michigan Ave",60 reviews,2.5 star rating,"Cocktail Bars,American (New)","85 E Wacker Dr, Chicago, IL 60601","Mon 4:00 pm 12:00 am
Tue 4:00 pm 12:00 am
Wed 4:00 pm 12:00 am
Thu 4:00 pm 12:00 am
Fri 4:00 pm 3:00 am
Sat 10:00 am 2:00 am
Sun 10:00 am 12:00 am
",No,Yes,NULL,Dressy,Yes,Above $61,Yes,No,No,Yes,Yes,Free,NULL,Full Bar,Average,"Touristy, Classy",No,No,NULL,NULL,(312) 357-1200
TeJGJA4_iPNMDuQUxmphHg,Catch 35,"35 W Wacker Dr, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Lower Wacker Dr",724 reviews,4.0 star rating,Seafood,"35 W Wacker Dr, Chicago, IL 60601","Mon 11:30 am 9:30 pm
Tue 11:30 am 9:30 pm
Wed 11:30 am 9:30 pm
Thu 11:30 am 9:30 pm
Fri 11:30 am 10:00 pm
Sat 4:00 pm 10:00 pm
Sun 4:00 pm 9:00 pm
",No,Yes,Valet,Dressy,Yes,$31-60,Yes,Yes,Yes,NULL,No,Free,Dinner,Full Bar,Average,Classy,No,No,NULL,catch35.com,(312) 346-3500
EwjiWbRN33-kZlG2Yzc3xg,Taco Bell Cantina,"178 N Wabash Ave, Chicago, IL 60601 Neighborhood: The Loop",5 reviews,3.0 star rating,NULL,"178 N Wabash Ave, Chicago, IL 60601","Mon 10:00 am 2:00 am
Tue 10:00 am 2:00 am
Wed 10:00 am 2:00 am
Thu 10:00 am 2:00 am
Fri 10:00 am 2:00 am
Sat 10:00 am 2:00 am
Sun 10:00 am 2:00 am
",NULL,NULL,NULL,NULL,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,Beer & Wine Only,Average,NULL,NULL,NULL,NULL,tacobell.com,(773) 661-2607
ugOU_IJV4qFSaC1BtuazyQ,Sweetwater Tavern and Grille,"225 N Michigan Ave, Chicago, IL 60601 Neighborhood: b/t Wacker Pl & Lake St",822 reviews,3.5 star rating,"American (New),Sports Bars,Burgers","225 N Michigan Ave, Chicago, IL 60601","Mon 11:00 am 11:00 pm
Tue 11:00 am 11:00 pm
Wed 11:00 am 11:00 pm
Thu 11:00 am 12:00 am
Fri 11:00 am 1:00 am
Sat 10:00 am 1:00 am
Sun 10:00 am 11:00 pm
",No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,Free,"Lunch, Dinner",Full Bar,Average,Casual,Yes,NULL,NULL,sweetwatertavernandgrille.com,(312) 698-7111
qn3xtrTab0f7BiAgpB_xBg,Columbus Tap,"200 North Columbus Dr, Chicago, IL 60601 Neighborhood: b/t Water St & Lower South Water",54 reviews,3.0 star rating,"American (Traditional),Beer Bar,Desserts","200 North Columbus Dr, Chicago, IL 60601","Mon 11:30 am 12:00 am
Tue 11:30 am 12:00 am
Wed 11:30 am 12:00 am
Thu 11:30 am 12:00 am
Fri 11:30 am 12:00 am
Sat 11:30 am 12:00 am
Sun 11:30 am 12:00 am
",No,Yes,Valet,Casual,Yes,$11-30,Yes,No,Yes,NULL,NULL,NULL,"Lunch, Dinner",Full Bar,Average,Casual,NULL,NULL,Yes,columbustap.com,(312) 565-6644
ndVrtzisx6t3dpK84Is_5g,American Craft Kitchen & Bar,"151 E Wacker Dr, Chicago, IL 60601 Neighborhood: b/t Beaubien Ct & Stetson Ave",71 reviews,3.5 star rating,American (Traditional),"151 E Wacker Dr, Chicago, IL 60601","Mon 6:00 am 10:00 pm
Tue 6:00 am 10:00 pm
Wed 6:00 am 10:00 pm
Thu 6:00 am 10:00 pm
Fri 6:00 am 10:00 pm
Sat 6:00 am 10:00 pm
Sun 6:00 am 10:00 pm
",Yes,Yes,"Valet, Garage",Casual,Yes,$11-30,Yes,No,Yes,Yes,No,Free,"Breakfast, Lunch, Dinner",Full Bar,Average,"Casual, Touristy, Trendy, Classy",Yes,No,NULL,NULL,(312) 565-1234
jGiKIJCVLZHXQDSNnSLPsw,Xoco,"449 N Clark St, Chicago, IL 60654 Neighborhood: Near North Side",3293 reviews,4.0 star rating,"Mexican,Breakfast & Brunch,Sandwiches","449 N Clark St, Chicago, IL 60654","Mon 
Tue 8:00 am 9:00 pm
Wed 8:00 am 9:00 pm
Thu 8:00 am 9:00 pm
Fri 8:00 am 10:00 pm
Sat 8:00 am 10:00 pm
Sun 
",Yes,Yes,Street,Casual,No,$11-30,No,No,Yes,No,Yes,No,Lunch,Beer & Wine Only,Average,Casual,No,No,Yes,rickbayless.com,(312) 661-1434
4HgsNJmxh9mwVCCCFPyn8Q,sweetgreen,"150 N Michigan Ave, Chicago, IL 60601 Neighborhood: at Randolph St",12 reviews,4.0 star rating,NULL,"150 N Michigan Ave, Chicago, IL 60601","Mon 10:30 am 10:00 pm
Tue 10:30 am 10:00 pm
Wed 10:30 am 10:00 pm
Thu 10:30 am 10:00 pm
Fri 10:30 am 10:00 pm
Sat 10:30 am 10:00 pm
Sun 10:30 am 10:00 pm
",Yes,Yes,NULL,NULL,No,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sweetgreen.com,(312) 471-0300
EQ2MgU-7QbBpYnjtejS2DA,bopNgrill,", Neighborhood: The Loop",3 reviews,4.0 star rating,NULL,",","Mon 10:30 am 7:00 pm
Tue 10:30 am 7:00 pm
Wed 10:30 am 7:00 pm
Thu 10:30 am 7:00 pm
Fri 10:30 am 7:00 pm
Sat 
Sun 
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bopngrill.com,(773) 999-9411
7Ees_Pd8ehKBMAtFzjPpyQ,Wow Bao,"1 W Wacker Dr, Ste 107 Neighborhood: at Wabash Ave",510 reviews,3.5 star rating,"Chinese,Asian Fusion,Fast Food","1 W Wacker Dr, Ste 107","Mon 8:00 am 9:00 pm
Tue 8:00 am 9:00 pm
Wed 8:00 am 9:00 pm
Thu 8:00 am 9:00 pm
Fri 8:00 am 9:00 pm
Sat 11:00 am 9:00 pm
Sun 12:00 pm 6:00 pm
",Yes,Yes,Street,Casual,Yes,Under $10,No,Yes,Yes,NULL,Yes,Free,Lunch,No,Average,Casual,No,Yes,Yes,wowbao.com,(312) 658-0305
3Q_N0K28SRJbPy2sz0QqVw,Prime & Provisions,"222 N La Salle St, Chicago, IL 60601 Neighborhood: b/t Haddock Pl & Lasalle St",649 reviews,4.5 star rating,"American (Traditional),Seafood,Steakhouses","222 N La Salle St, Chicago, IL 60601","Mon 11:30 am 11:00 pm
Tue 11:30 am 11:00 pm
Wed 11:30 am 11:00 pm
Thu 11:30 am 11:00 pm
Fri 11:30 am 12:00 am
Sat 5:00 pm 12:00 am
Sun 4:00 pm 9:00 pm
",No,Yes,"Valet, Street",Dressy,Yes,Above $61,Yes,No,Yes,NULL,Yes,Free,Dinner,Full Bar,Average,"Classy, Upscale",Yes,NULL,Yes,primeandprovisions.com,(312) 726-7777
4wmRu3bpaSpW999SHGK34g,Revival Food Hall,"125 S Clark St, Chicago, IL 60603 Neighborhood: The Loop",286 reviews,4.0 star rating,Food Court,"125 S Clark St, Chicago, IL 60603","Mon 7:00 am 7:00 pm
Tue 7:00 am 7:00 pm
Wed 7:00 am 7:00 pm
Thu 7:00 am 7:00 pm
Fri 7:00 am 7:00 pm
Sat 
Sun 
",Yes,Yes,Street,Casual,Yes,$11-30,No,Yes,Yes,No,No,Free,Lunch,Full Bar,Loud,"Hipster, Casual, Trendy",No,NULL,Yes,revivalfoodhall.com,(773) 999-9411
s9CsFdNxcmF0jx8T94D3FQ,Ramen Misoya,"213 E Ohio St, Chicago, IL 60611 Neighborhood: b/t St Clair St & Fairbanks Ct",250 reviews,3.5 star rating,Ramen,"213 E Ohio St, Chicago, IL 60611","Mon 11:00 am 3:00 pm 5:00 pm 9:30 pm
Tue 11:00 am 3:00 pm 5:00 pm 9:30 pm
Wed 11:00 am 3:00 pm 5:00 pm 9:30 pm
Thu 11:00 am 3:00 pm 5:00 pm 9:30 pm
Fri 11:00 am 3:00 pm 5:00 pm 9:30 pm
Sat 11:00 am 3:00 pm 5:00 pm 9:30 pm
Sun 11:00 am 3:00 pm 5:00 pm 9:30 pm
",Yes,Yes,Street,Casual,Yes,$11-30,No,No,Yes,Yes,No,No,"Lunch, Dinner",No,Average,Casual,Yes,NULL,Yes,NULL,(815) 770-5857
Vw-Qn1Hg06h4yBUdDQCXyA,Sushi-San,"63 W Grand Ave, Chicago, IL 60654 Neighborhood: Near North Side",74 reviews,4.0 star rating,Sushi Bars,"63 W Grand Ave, Chicago, IL 60654","Mon 4:00 pm 12:00 am
Tue 4:00 pm 12:00 am
Wed 4:00 pm 12:00 am
Thu 4:00 pm 12:00 am
Fri 4:00 pm 1:00 am
Sat 4:00 pm 1:00 am
Sun 4:00 pm 12:00 am
",No,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,No,Free,Dinner,Full Bar,Average,Casual,No,No,NULL,sushisanrestaurant.com,(312) 828-0575
mM8IrFugec_AS_RoLEgz1w,The Living Room,"151 East Wacker Dr, Hyatt Regency Chicago Neighborhood: b/t Beaubien Ct & Stetson Ave",6 reviews,4.5 star rating,"Tapas/Small Plates,Cocktail Bars","151 East Wacker Dr, Hyatt Regency Chicago","Mon 
Tue 5:00 am 11:00 pm
Wed 5:00 am 11:00 pm
Thu 5:00 am 11:00 pm
Fri 5:00 am 11:00 pm
Sat 5:00 am 11:00 pm
Sun 
",No,Yes,NULL,Casual,Yes,$11-30,No,No,Yes,NULL,NULL,Free,NULL,NULL,NULL,NULL,NULL,NULL,NULL,chicago.regency.hyatt.com,(312) 565-1234
nMU5Y8IofUupXNWNoeSo9A,Brown Bag Seafood,"340 E Randolph St, Chicago, IL 60601 Neighborhood: at Columbus Dr",280 reviews,4.0 star rating,"Seafood,Fast Food","340 E Randolph St, Chicago, IL 60601","Mon 11:00 am 9:00 pm
Tue 11:00 am 9:00 pm
Wed 11:00 am 9:00 pm
Thu 11:00 am 9:00 pm
Fri 11:00 am 9:00 pm
Sat 11:00 am 9:00 pm
Sun 
",Yes,Yes,"Garage, Street",Casual,Yes,$11-30,No,Yes,Yes,No,Yes,Free,Lunch,Full Bar,Average,Casual,Yes,NULL,Yes,brownbagseafood.com/home,(312) 496-3999
cKZNbMvoqJaUe7n6lf6i7w,Wildberry Pancakes and Cafe,"130 E Randolph St, Chicago, IL 60601 Neighborhood: b/t Stetson Ave & Beaubien Ct",4382 reviews,4.5 star rating,"Breakfast & Brunch,American (New)","130 E Randolph St, Chicago, IL 60601","Mon 6:30 am 2:30 pm
Tue 6:30 am 2:30 pm
Wed 6:30 am 2:30 pm
Thu 6:30 am 2:30 pm
Fri 6:30 am 2:30 pm
Sat 6:30 am 2:30 pm
Sun 6:30 am 2:30 pm
",Yes,Yes,NULL,Casual,Yes,$11-30,No,No,Yes,Yes,Yes,Free,"Breakfast, Brunch",No,Average,Casual,No,No,NULL,wildberrycafe.com,(312) 938-9777
TMaIQpLvvJgD3WcMuBGgKw,Capriotti’s Sandwich Shop,"174 N Wabash Ave, Chicago, IL 60601 Neighborhood: The Loop",90 reviews,4.0 star rating,Sandwiches,"174 N Wabash Ave, Chicago, IL 60601","Mon 9:00 am 10:00 pm
Tue 9:00 am 10:00 pm
Wed 9:00 am 10:00 pm
Thu 9:00 am 10:00 pm
Fri 9:00 am 10:00 pm
Sat 10:30 am 10:00 pm
Sun 10:30 am 10:00 pm
",Yes,Yes,Street,Casual,Yes,Under $10,No,Yes,Yes,No,Yes,No,Lunch,No,Average,Casual,Yes,Yes,Yes,capriottis.com,(312) 344-1695
8KzVXx6GCNBZBdtRGIdZDA,Sable,", Neighborhood: Near North Side",1235 reviews,4.0 star rating,"American (New),Bars,Breakfast & Brunch",",","Mon 6:30 am 10:30 am 4:00 pm 11:00 pm
Tue 6:30 am 10:30 am 4:00 pm 11:00 pm
Wed 6:30 am 10:30 am 4:00 pm 11:00 pm
Thu 6:30 am 10:30 am 4:00 pm 11:00 pm
Fri 6:30 am 10:30 am 4:00 pm 12:00 am
Sat 8:00 am 2:00 pm 4:00 pm 12:00 am
Sun 8:00 am 2:00 pm 4:00 pm 10:00 pm
",No,Yes,"Valet, Street",Casual,Yes,$11-30,No,No,Yes,NULL,Yes,Free,Dinner,Full Bar,Average,Trendy,Yes,No,NULL,sablechicago.com,(312) 755-9704
42fKxghGjTmoBaTsX0OiFg,Ronny’s Original Chicago Steak House,"100 W Randolph St, Chicago, IL 60601 Neighborhood: b/t Michigan Ave & Beaubien Ct",209 reviews,3.5 star rating,"Steakhouses,Sandwiches,Barbeque","100 W Randolph St, Chicago, IL 60601","Mon 7:00 am 10:00 pm
Tue 7:00 am 10:00 pm
Wed 7:00 am 10:00 pm
Thu 7:00 am 10:00 pm
Fri 7:00 am 10:00 pm
Sat 7:00 am 10:00 pm
Sun 7:00 am 10:00 pm
",Yes,Yes,Street,Casual,Yes,$11-30,No,No,Yes,No,No,No,Lunch,Beer & Wine Only,Average,Casual,No,No,Yes,ronnyssteakhouse.com,(312) 346-9487
Lih5VgEGoXbohqVlIP_bVg,Elephant & Castle,"185 N Wabash Ave, Chicago, IL 60601 Neighborhood: The Loop",480 reviews,3.0 star rating,"Pubs,British","185 N Wabash Ave, Chicago, IL 60601","Mon 11:00 am 2:00 am
Tue 11:00 am 2:00 am
Wed 11:00 am 2:00 am
Thu 11:00 am 2:00 am
Fri 11:00 am 2:00 am
Sat 9:00 am 2:00 am
Sun 9:00 am 2:00 am
",No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,Free,"Lunch, Dinner",Full Bar,Average,Casual,Yes,No,NULL,elephantcastle.com,(312) 345-1710
doMpF2X9a2F8WoQH78ZL4w,III Forks,"180 N Field Blvd, Chicago, IL 60601 Neighborhood: The Loop",342 reviews,3.5 star rating,Steakhouses,"180 N Field Blvd, Chicago, IL 60601","Mon 4:00 pm 10:00 pm
Tue 4:00 pm 10:00 pm
Wed 4:00 pm 10:00 pm
Thu 4:00 pm 10:00 pm
Fri 4:00 pm 11:00 pm
Sat 4:00 pm 11:00 pm
Sun 4:00 pm 10:00 pm
",No,Yes,Valet,Dressy,Yes,$31-60,Yes,Yes,Yes,Yes,Yes,Free,Dinner,Full Bar,Average,"Classy, Upscale",Yes,Yes,Yes,3forks.com,(312) 938-4303
